Shipment_ID,Origin,Destination,Distance_km,Shipment_Mode,Carrier,Quantity,Weight_kg,Volume_m3,Shipment_Value_INR,Weather_Conditions,Traffic_Conditions,Planned_Duration_Days,Actual_Duration_Days,Delay_Days,Status
SH1000,Ahmedabad,Chennai,1330,Road,SCI,5784,32547.01,175.938,138702410.54,Sunny,Low,3,3.36,0.36,On Time
SH1001,Kochi,Chennai,585,Road,TCI,6470,49178.71,135.077,150427664.99,Sunny,Moderate,1,2.0,1.0,On Time
SH1002,Kochi,Chennai,389,Road,CONCOR,1949,12500.29,34.981,39545405.0,Rainy,Low,1,1.46,0.46,On Time
SH1003,Bengaluru,Mumbai,2190,Rail,TCI,9720,73045.43,165.404,168251969.13,Sunny,Low,5,5.87,0.87,On Time
SH1004,Kolkata,Mumbai,14805,Ocean,Gati,3893,10222.34,20.889,16469332.75,Foggy,High,29,30.44,1.44,Delayed
SH1005,Kochi,Hyderabad,13268,Ocean,Gati,4909,36723.71,148.92,44394179.4,Sunny,Low,26,25.95,-0.05,On Time
SH1006,Mumbai,Hyderabad,9258,Ocean,CONCOR,6786,58905.41,138.094,86532429.87,Foggy,Moderate,18,19.62,1.62,Delayed
SH1007,Ahmedabad,Kochi,1604,Rail,CONCOR,2781,21780.54,47.295,61560010.18,Sunny,Moderate,4,4.95,0.95,On Time
SH1008,Delhi,Ahmedabad,1070,Road,CONCOR,4538,39356.36,208.442,165636575.68,Sunny,High,3,6.05,3.05,Delayed
SH1009,Bengaluru,Ahmedabad,2478,Rail,CONCOR,4686,14672.7,82.923,36785424.13,Sunny,High,6,9.11,3.11,Delayed
SH1010,Mumbai,Bengaluru,1251,Road,TCI,3677,19450.83,42.363,75911883.11,Sunny,Low,3,3.27,0.27,On Time
SH1011,Chennai,Kochi,8864,Air,CONCOR,7576,18133.48,53.82,206609382.81,Rainy,Low,7,8.17,1.17,Delayed
SH1012,Kochi,Delhi,5853,Ocean,Blue Dart,6635,76754.63,322.331,105743996.38,Sunny,Low,11,16.42,5.42,Delayed
SH1013,Bengaluru,Delhi,2461,Rail,Gati,5222,32004.11,64.658,77565047.98,Rainy,Moderate,6,7.62,1.62,Delayed
SH1014,Kochi,Hyderabad,997,Rail,CONCOR,6337,64041.59,244.179,148986821.51,Sunny,Moderate,3,3.95,0.95,On Time
SH1015,Chennai,Hyderabad,2643,Rail,Blue Dart,3026,15348.11,46.339,53196432.7,Rainy,Moderate,6,6.86,0.86,On Time
SH1016,Delhi,Chennai,10287,Ocean,Gati,8865,61033.83,181.985,70991866.46,Sunny,High,20,19.38,-0.62,On Time
SH1017,Chennai,Kolkata,1954,Rail,TCI,6345,32688.45,70.951,114054069.8,Foggy,Moderate,4,7.16,3.16,Delayed
SH1018,Kochi,Bengaluru,352,Road,SCI,3011,7073.72,20.68,34522874.67,Rainy,Low,1,2.44,1.44,Delayed
SH1019,Kolkata,Ahmedabad,1439,Rail,Blue Dart,4605,29248.02,78.473,71315690.08,Rainy,High,3,5.93,2.93,Delayed
SH1020,Chennai,Mumbai,11022,Ocean,Blue Dart,8046,50212.86,143.383,80621040.32,Sunny,High,22,22.0,0.0,On Time
SH1021,Kolkata,Delhi,1572,Road,Blue Dart,351,4077.4,8.368,21646949.16,Sunny,Low,4,3.53,-0.47,On Time
SH1022,Ahmedabad,Delhi,12319,Ocean,Gati,1866,9402.68,21.107,16372086.67,Sunny,Low,24,23.45,-0.55,On Time
SH1023,Delhi,Kolkata,12096,Ocean,Blue Dart,7393,50696.98,199.769,66545660.42,Sunny,Moderate,24,26.35,2.35,Delayed
SH1024,Kolkata,Bengaluru,9655,Air,TCI,6052,26549.79,94.331,229864698.76,Rainy,Low,8,9.71,1.71,Delayed
SH1025,Hyderabad,Delhi,6854,Air,CONCOR,2541,10815.74,24.595,107084475.73,Foggy,Moderate,5,7.5,2.5,Delayed
SH1026,Hyderabad,Ahmedabad,3783,Rail,TCI,6849,80286.03,242.772,205947610.72,Stormy,Low,9,10.89,1.89,Delayed
SH1027,Delhi,Kolkata,10805,Air,Blue Dart,7454,27723.21,57.255,364983825.39,Rainy,Moderate,9,10.45,1.45,Delayed
SH1028,Kochi,Kolkata,896,Road,SCI,9485,9760.35,59.422,51881402.86,Rainy,Moderate,2,3.14,1.14,Delayed
SH1029,Hyderabad,Bengaluru,10665,Ocean,SCI,2899,10147.3,65.316,17697772.53,Rainy,Moderate,21,22.73,1.73,Delayed
SH1030,Kochi,Ahmedabad,1095,Road,CONCOR,901,6413.28,22.435,30470413.4,Sunny,Moderate,3,4.37,1.37,Delayed
SH1031,Delhi,Chennai,7107,Air,Gati,8995,75149.43,429.631,768991278.77,Stormy,Low,5,10.3,5.3,Delayed
SH1032,Kolkata,Mumbai,2316,Rail,CONCOR,462,439.2,1.482,1622071.16,Rainy,Moderate,5,6.62,1.62,Delayed
SH1033,Mumbai,Ahmedabad,10806,Ocean,SCI,3490,29030.57,70.985,33678897.77,Sunny,Moderate,21,21.79,0.79,On Time
SH1034,Mumbai,Kochi,11186,Ocean,Blue Dart,445,5127.84,11.485,6451435.01,Foggy,Moderate,22,23.49,1.49,Delayed
